link,rank,title
https://j0nah.com/i-failed-to-recreate-the-1996-space-jam-website-with-claude/,1.,I failed to recreate the 1996 Space Jam website with Claude
https://www.experimental-history.com/p/bag-of-words-have-mercy-on-us,2.,"Bag of words, have mercy on us"
https://www.science.org/doi/10.1126/sciadv.adw6833,3.,Mechanical power generation using Earth's ambient radiation
https://www.theguardian.com/us-news/2025/dec/03/customers-pay-more-rising-dollar-store-costs,4.,Dollar-stores overcharge customers while promising low prices
https://www.youtube.com/watch?v=Gv4sDL9Ljww,5.,The C++ standard for the F-35 Fighter Jet [video]
https://research.google/blog/titans-miras-helping-ai-have-long-term-memory/,6.,"Google Titans architecture, helping AI have long-term memory"
https://devblogs.microsoft.com/oldnewthing/20040119-00/?p=41003,7.,Uninitialized garbage on ia64 can be deadly (2004)
https://www.thepavement.xyz/p/the-era-of-jobs-is-ending,8.,The era of jobs is ending
https://www.niskanencenter.org/work-disincentives-hit-the-near-poor-hardest-why-and-what-to-do-about-it/,9.,Work disincentives hit the near-poor hardest (2022)
https://turtletoy.net/,10.,Turtletoy
https://betterexplained.com/articles/an-interactive-guide-to-the-fourier-transform/,11.,An Interactive Guide to the Fourier Transform
https://www.cnn.com/2025/12/06/tech/apple-tim-cook-leadership-changes,12.,What the heck is going on at Apple?
https://www.anildash.com/2025/12/02/vibe-coding-empowering-and-imprisoning/,13.,Vibe Coding: Empowering and Imprisoning
https://kmaliszewski9.github.io/scala/2025/12/07/scala3-slowdown.html,14.,Scala 3 slowed us down?
https://lucasvance.github.io/2100/history/,15.,Socialist ends by market means: A history
https://www.safetyresearch.net/toyota-unintended-acceleration-and-the-big-bowl-of-spaghetti-code/,16.,"Toyota Unintended Acceleration and the Big Bowl of ""Spaghetti"" Code (2013)"
https://troubled.engineer/posts/no-ads/,17.,How I block all online ads
https://eclecticlight.co/2025/12/04/the-anatomy-of-a-macos-app/,18.,The Anatomy of a macOS App
https://www.abc.net.au/news/2025-12-05/australian-working-from-home-mental-health-impacts-tracked/106096688,19.,Impacts of working from home on mental health tracked in study of 16K Aussies
https://cleantechnica.com/2025/12/05/catl-expects-oceanic-electric-ships-in-3-years/,20.,CATL expects oceanic electric ships in 3 years
https://spectrum.ieee.org/listen-to-protons-diy-magnetometer,21.,Build a DIY magnetometer with a couple of seasoning bottles
https://github.com/bbu/cdecl-dump,22.,Show HN: Cdecl-dump - represent C declarations visually
https://www.wakeuptopolitics.com/p/millions-of-americans-mess-up-their,23.,"Millions of Americans mess up their taxes, but a new law will help"
https://howtech.substack.com/p/spinlocks-vs-mutexes-when-to-spin,24.,Spinlocks vs. Mutexes: When to Spin and When to Sleep
https://blog.42yeah.is/algorithm/2023/08/05/two-person-die.html,25.,A two-person method to simulate die rolls (2023)
https://research.google/blog/introducing-nested-learning-a-new-ml-paradigm-for-continual-learning/,26.,Nested Learning: A new ML paradigm for continual learning
https://thorsell.io/2025/12/07/estimates.html,27.,Estimates are difficult for developers and product owners
https://www.heise.de/en/news/Goodbye-Microsoft-Schleswig-Holstein-relies-on-Open-Source-and-saves-millions-11105459.html,28.,The state of Schleswig-Holstein is consistently relying on open source
https://twitter.com/kenchangh/status/1994854381267947640,29.,I wasted years of my life in crypto
https://www.javaadvent.com/2025/12/java-hello-world-llvm-edition.html,30.,"Java Hello World, LLVM Edition"
